"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"302",0,1,1,1,1,2,0,1,2,2,0
"303",0,0,1,0,0,0,0,0,0,0,0
"304",0,1,0,0,1,0,1,0,0,1,1
"305",0,0,0,0,0,0,0,0,0,0,0
"306",0,1,0,0,0,0,0,1,0,1,1
"307",0,1,0,1,1,0,0,2,0,2,2
"308",0,0,0,0,0,0,0,0,0,0,0
"309",0,4,0,1,1,0,0,2,0,3,3
"310",0,0,0,0,0,0,0,0,0,0,0
"311",0,0,0,0,0,0,0,0,0,0,0
"312",0,0,0,0,1,0,0,1,0,1,1
"313",0,0,0,0,0,0,0,0,0,0,0
"314",0,0,0,0,0,0,0,0,0,0,0
"315",0,0,0,0,1,0,0,1,0,1,1
"316",0,0,0,0,1,0,0,0,0,1,1
"317",0,2,0,0,2,0,1,3,1,3,2
"318",0,1,0,0,1,0,1,1,0,1,1
"319",0,0,0,0,0,0,0,0,0,0,0
"320",0,0,0,0,0,0,0,0,0,0,0
"321",0,0,0,0,0,0,0,0,0,0,0
"322",0,0,0,0,0,0,0,0,0,1,1
"323",0,0,1,0,0,0,0,0,1,0,-1
"324",0,1,0,0,1,0,1,1,0,1,1
"325",1,1,0,0,0,1,0,0,1,1,0
"326",0,0,0,0,0,0,0,0,0,0,0
"327",0,0,0,0,0,0,0,0,0,0,0
"328",0,0,0,0,0,0,0,0,0,0,0
"329",0,0,0,0,0,0,1,0,0,0,0
"330",0,0,1,0,0,0,0,0,0,0,0
"331",0,0,0,0,1,0,0,1,0,1,1
"332",1,1,0,1,0,0,0,0,1,2,1
"333",1,1,0,0,1,0,0,0,1,1,0
"334",1,2,1,1,2,1,2,1,1,2,1
"335",0,0,0,0,0,0,0,0,0,0,0
"336",1,1,2,0,0,1,1,0,3,2,-1
"337",0,0,1,0,0,0,0,0,0,0,0
"338",0,0,0,0,0,0,0,0,0,0,0
"339",0,1,0,1,1,1,0,0,0,1,1
"340",0,0,0,0,1,0,0,0,0,1,1
"341",0,0,0,0,0,0,0,0,0,0,0
"342",0,0,0,0,1,0,0,1,0,1,1
"343",0,1,0,0,0,0,0,0,0,0,0
"344",0,1,0,0,1,0,1,0,0,1,1
"345",0,2,0,1,1,1,0,0,0,1,1
"346",0,0,0,0,0,0,0,0,0,0,0
"347",0,0,0,0,1,0,0,0,0,1,1
"348",0,1,0,0,2,0,1,0,0,2,2
"349",0,1,0,1,1,0,0,0,0,1,1
"350",2,2,1,0,3,1,1,1,2,5,3
"351",0,0,0,0,0,0,0,0,0,1,1
"352",0,0,0,0,0,0,0,0,0,1,1
"353",0,0,0,0,0,0,0,0,0,0,0
"354",0,0,0,0,0,0,0,0,0,0,0
"355",0,2,0,3,0,2,0,0,2,0,-2
"356",0,1,0,1,1,0,0,0,0,2,2
"357",0,0,0,0,0,0,0,0,0,1,1
"358",0,1,0,0,1,0,1,1,0,1,1
"359",0,0,0,0,0,0,0,0,0,1,1
"360",0,1,0,0,1,0,0,1,0,1,1
"361",0,1,0,1,0,0,0,1,0,1,1
"362",1,0,1,1,0,1,0,0,1,0,-1
"363",1,0,0,0,0,0,0,2,1,2,1
"364",0,0,0,0,0,0,0,0,0,0,0
"365",2,0,1,0,0,1,0,0,2,0,-2
"366",0,0,0,0,0,0,0,0,0,0,0
"367",0,1,0,0,1,0,0,2,0,3,3
"368",0,1,0,0,1,0,1,2,0,2,2
"369",1,0,1,2,0,2,0,1,3,2,-1
"370",0,0,0,1,0,1,0,0,1,0,-1
"371",1,0,1,0,1,1,0,0,2,2,0
"372",0,0,0,0,1,0,0,0,0,1,1
"373",0,0,0,0,0,0,0,0,1,0,-1
"374",0,1,0,2,1,0,0,0,0,2,2
"375",0,0,0,0,0,0,0,0,0,0,0
"376",0,2,0,0,2,1,1,1,0,2,2
"377",0,1,0,0,0,0,0,0,0,0,0
"378",0,0,0,0,0,0,0,0,0,0,0
"379",0,0,0,1,0,1,0,0,1,0,-1
"380",0,0,0,0,1,0,0,0,0,1,1
"381",0,0,0,0,0,0,1,0,0,1,1
"382",2,3,2,1,1,1,1,2,2,3,1
"383",0,0,1,0,0,0,0,0,2,1,-1
"384",0,0,0,0,0,0,0,0,0,0,0
"385",0,0,0,0,0,0,0,0,0,0,0
"386",0,0,0,1,0,1,0,0,1,0,-1
"387",0,1,0,0,1,1,1,1,0,1,1
"388",1,3,0,1,2,0,2,2,0,2,2
"389",0,0,0,0,1,0,0,0,0,1,1
"390",0,0,0,0,0,0,0,0,0,0,0
"391",0,0,0,0,0,0,0,0,0,1,1
"392",0,0,0,0,1,0,0,0,0,1,1
"393",0,0,0,0,0,0,0,0,0,0,0
"394",1,2,0,1,0,0,0,0,3,2,-1
"395",0,0,0,0,0,0,0,0,0,0,0
"396",0,0,0,0,0,0,0,0,0,0,0
"397",0,0,0,0,0,0,0,0,0,0,0
"398",0,0,0,0,0,0,0,0,0,0,0
"399",1,2,0,0,1,0,0,3,2,3,1
"400",0,1,0,0,0,0,0,1,0,1,1
"401",0,1,0,0,0,0,0,1,0,2,2
"402",0,1,0,0,1,0,1,1,0,1,1
"403",0,1,0,1,1,0,0,0,0,1,1
"404",0,0,0,0,0,0,0,0,0,0,0
"405",0,1,0,0,1,0,1,1,0,1,1
"406",0,0,0,0,0,0,0,0,0,0,0
"407",0,0,0,0,0,0,0,0,0,0,0
"408",0,0,0,0,0,0,0,0,0,0,0
"409",0,1,0,1,0,0,0,1,1,0,-1
"410",0,3,0,0,2,0,1,2,0,3,3
"411",0,0,0,0,0,0,0,1,0,0,0
"412",1,1,1,0,1,0,1,1,2,1,-1
"413",0,0,0,0,1,0,0,1,0,1,1
"414",0,0,0,0,1,0,0,1,0,2,2
"415",0,0,0,0,0,0,0,1,0,1,1
"416",0,0,0,0,0,0,0,0,0,0,0
"417",0,0,0,0,0,0,0,0,0,0,0
"418",0,5,0,1,4,0,1,4,1,7,6
"419",0,0,0,0,1,0,0,0,0,2,2
"420",1,1,0,0,2,0,1,1,1,2,1
"421",1,0,0,1,0,1,0,2,2,1,-1
"422",0,1,0,0,1,1,0,1,1,1,0
"423",0,1,0,1,0,0,0,0,0,0,0
"424",0,1,0,0,2,0,1,1,0,2,2
"425",0,0,0,0,0,0,0,0,0,0,0
"426",2,2,0,1,0,0,0,1,2,2,0
"427",0,0,0,0,1,0,0,0,0,1,1
"428",1,2,1,2,2,2,1,4,1,5,4
"429",0,0,0,0,0,0,0,0,0,0,0
"430",0,0,0,0,0,0,0,0,0,0,0
"431",1,0,0,0,1,0,0,1,1,1,0
"432",0,1,0,0,1,0,1,1,0,1,1
"433",2,2,2,1,1,1,1,1,4,1,-3
"434",0,0,0,0,0,0,0,0,0,0,0
"435",0,0,0,0,0,0,0,0,0,0,0
"436",0,0,0,0,0,0,0,0,0,0,0
"437",1,3,0,1,1,0,1,2,1,2,1
"438",0,1,0,0,0,0,0,1,0,1,1
"439",1,0,1,0,1,1,0,0,1,2,1
"440",1,2,0,0,2,0,1,2,1,4,3
"441",1,0,1,2,0,2,0,0,2,2,0
"442",0,1,0,1,0,0,0,1,2,1,-1
"443",0,0,0,0,0,0,0,0,0,0,0
"444",0,0,0,0,0,0,0,0,0,0,0
"445",0,1,0,1,1,1,1,1,2,1,-1
"446",0,0,0,0,0,0,0,0,0,0,0
"447",0,0,0,0,0,0,0,0,0,0,0
"448",1,0,0,0,0,0,0,0,2,1,-1
"449",0,0,0,0,0,0,0,0,0,0,0
"450",0,0,0,0,1,0,0,0,0,2,2
"451",0,0,0,0,0,0,0,0,0,0,0
"452",0,0,0,0,0,0,0,0,0,0,0
"453",0,0,0,0,0,0,0,0,0,0,0
"454",0,0,0,0,0,0,0,1,0,1,1
"455",0,1,0,0,1,0,0,1,0,1,1
"456",0,0,0,0,0,0,0,0,0,0,0
"457",0,3,0,0,1,0,0,2,1,3,2
"458",1,1,1,2,0,1,0,1,3,0,-3
"459",1,2,0,1,1,0,1,1,1,1,0
"460",0,0,0,0,0,0,0,0,0,0,0
"461",2,1,1,0,2,0,1,2,2,5,3
"462",2,2,0,2,1,1,0,1,2,1,-1
"463",0,0,0,0,0,0,0,0,0,0,0
"464",1,0,0,0,1,0,0,1,2,1,-1
"465",0,0,0,0,0,0,0,0,0,0,0
"466",0,1,0,0,1,0,0,1,0,1,1
"467",0,0,0,0,0,0,0,0,0,0,0
"468",0,1,0,0,1,0,1,1,0,1,1
"469",0,1,0,1,0,0,0,0,0,0,0
"470",0,0,0,0,0,0,0,0,0,0,0
"471",0,0,0,0,0,0,0,0,0,0,0
"472",0,1,0,0,1,0,0,1,0,1,1
"473",0,0,0,0,0,0,0,0,0,0,0
"474",0,1,0,0,1,1,1,1,0,2,2
"475",0,1,0,0,1,0,1,1,0,1,1
"476",0,0,0,0,0,0,0,0,0,0,0
"477",0,0,0,0,1,0,0,0,0,1,1
"478",1,1,0,1,0,1,0,0,1,0,-1
"479",0,1,0,1,0,0,0,0,0,0,0
"480",0,0,0,0,0,0,0,0,0,0,0
"481",0,0,0,0,0,0,0,0,0,0,0
"482",1,0,1,1,0,0,0,0,1,0,-1
"483",0,1,0,0,1,0,1,1,0,1,1
"484",0,0,0,0,0,0,0,0,0,0,0
"485",0,2,0,0,1,0,1,1,0,2,2
"486",0,0,0,0,1,0,0,1,0,1,1
"487",0,1,0,0,1,0,0,2,0,3,3
"488",0,0,0,0,0,0,0,0,0,0,0
"489",0,0,0,0,0,0,0,0,0,1,1
"490",0,0,0,0,0,0,0,0,0,0,0
"491",0,0,0,0,0,0,0,0,0,0,0
"492",0,0,0,0,1,0,0,0,0,1,1
"493",0,1,0,0,1,0,0,1,0,1,1
"494",0,1,0,0,0,0,0,0,0,0,0
"495",0,1,0,2,0,1,0,1,1,2,1
"496",0,0,0,0,1,0,0,1,0,1,1
"497",0,0,0,0,1,0,0,0,0,1,1
"498",0,0,0,0,0,0,0,0,0,1,1
"499",0,2,0,1,0,0,0,0,0,0,0
"500",0,1,0,0,1,0,0,1,0,1,1
"501",0,0,0,0,0,0,0,0,0,0,0
"502",0,2,0,0,1,0,0,1,0,1,1
"503",0,1,0,0,1,0,1,1,0,1,1
"504",1,0,0,1,0,0,0,0,1,0,-1
"505",0,0,0,0,0,0,0,0,0,0,0
"506",0,1,0,0,0,0,0,2,1,2,1
"507",0,0,0,0,0,0,0,0,0,0,0
"508",0,2,0,1,1,0,1,0,0,2,2
"509",0,0,0,0,0,0,0,0,0,0,0
"510",1,5,0,1,3,0,1,5,1,5,4
"511",0,1,0,1,0,0,0,1,0,1,1
"512",0,0,0,0,1,0,0,1,0,3,3
"513",0,2,0,0,1,0,1,0,0,1,1
"514",0,0,0,0,0,0,0,0,0,0,0
"515",0,0,0,0,0,0,0,0,0,0,0
"516",0,0,0,0,0,0,0,0,0,2,2
"517",1,0,1,1,0,0,0,0,1,0,-1
"518",0,0,0,0,1,0,0,0,0,1,1
"519",1,0,0,0,0,0,0,0,1,0,-1
"520",0,2,0,0,1,0,0,3,2,2,0
"521",0,0,0,0,0,0,0,0,0,0,0
"522",0,0,0,0,0,0,0,0,0,0,0
"523",0,0,0,0,1,0,0,1,0,2,2
"524",0,2,0,1,1,0,0,0,0,2,2
"525",0,0,0,0,1,0,0,0,0,1,1
"526",0,2,0,0,1,0,1,1,0,1,1
"527",0,0,0,0,0,0,0,0,0,0,0
"528",0,0,0,0,0,0,0,0,0,1,1
"529",0,1,0,1,2,0,1,1,0,2,2
"530",1,2,0,0,3,0,2,3,0,3,3
"531",0,0,0,0,0,0,0,0,0,0,0
"532",0,0,0,0,0,0,0,0,0,0,0
"533",0,0,0,0,0,0,0,0,0,0,0
"534",0,1,0,0,0,0,0,1,0,1,1
"535",0,0,0,0,0,0,0,0,0,0,0
"536",0,0,0,0,0,0,0,0,0,0,0
"537",1,2,2,1,1,1,1,0,2,2,0
"538",0,1,0,0,1,0,0,2,0,2,2
"539",0,0,0,0,0,0,0,0,0,0,0
"540",0,0,0,0,0,0,0,0,0,0,0
"541",2,3,0,1,2,0,2,3,1,3,2
"542",1,2,0,1,1,0,1,1,0,2,2
"543",0,0,0,0,0,0,0,0,0,1,1
"544",0,0,0,0,0,0,0,0,0,0,0
"545",0,0,0,0,0,0,0,0,0,0,0
"546",0,0,0,0,0,0,0,0,0,0,0
"547",0,0,0,0,0,0,0,0,0,0,0
"548",0,0,0,0,0,0,0,0,0,0,0
"549",0,0,0,0,0,0,0,0,0,0,0
"550",0,0,1,1,0,1,1,0,1,0,-1
"551",0,0,0,0,0,0,0,0,0,0,0
"552",0,0,0,0,0,0,0,0,0,0,0
